epoch,loss,step
0,0.4246256649494171,49
0,0.3804071545600891,99
1,0.42074286937713623,149
1,0.2874869406223297,199
2,0.40260642766952515,249
2,0.6950421333312988,299
3,0.7688477039337158,349
3,0.7840818166732788,399
4,0.4783335328102112,449
4,0.5023401975631714,499
4,0.43854907155036926,549
5,0.7161970138549805,599
5,0.45623838901519775,649
6,0.11750766634941101,699
6,0.13493548333644867,749
7,0.516846776008606,799
7,0.09100653231143951,849
8,0.6402871012687683,899
8,0.6669578552246094,949
8,0.47694605588912964,999
9,0.6487608551979065,1049
9,0.04910478740930557,1099
