epoch,loss,step
124,0.30805158615112305,249
149,0.2635871171951294,299
174,0.2231721580028534,349
199,0.18687434494495392,399
224,0.15480785071849823,449
249,0.12421959638595581,499
274,0.09338658303022385,549
299,0.07266584783792496,599
324,0.05761130154132843,649
349,0.046685509383678436,699
374,0.03855173662304878,749
399,0.03238905221223831,799
424,0.027553122490644455,849
449,0.023716341704130173,899
474,0.020612554624676704,949
499,0.018029961735010147,999
524,0.01596301980316639,1049
549,0.014217160642147064,1099
574,0.012694621458649635,1149
599,0.011401496827602386,1199
624,0.0102998623624444,1249
649,0.009355396963655949,1299
674,0.008539469912648201,1349
699,0.007830045185983181,1399
